Unnamed,Date,Stock_symbol,sentiment_score,sentiment_label
12104.0,2023-12-12 00:00:00 UTC,AAPL,0.25,positive
12105.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12106.0,2023-12-12 00:00:00 UTC,AAPL,0.5106,positive
12107.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12108.0,2023-12-12 00:00:00 UTC,AAPL,0.5267,positive
12109.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12110.0,2023-12-12 00:00:00 UTC,AAPL,-0.2732,negative
12111.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12112.0,2023-12-12 00:00:00 UTC,AAPL,0.4939,positive
12113.0,2023-12-12 00:00:00 UTC,AAPL,0.4767,positive
12114.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12115.0,2023-12-12 00:00:00 UTC,AAPL,-0.25,negative
12116.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12117.0,2023-12-12 00:00:00 UTC,AAPL,0.296,positive
12118.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12119.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12120.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12121.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12122.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12123.0,2023-12-12 00:00:00 UTC,AAPL,0.7351,positive
12124.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12125.0,2023-12-12 00:00:00 UTC,AAPL,0.2023,positive
12126.0,2023-12-12 00:00:00 UTC,AAPL,0.765,positive
12127.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12128.0,2023-12-12 00:00:00 UTC,AAPL,0.7783,positive
12129.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12130.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12131.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12132.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12133.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12134.0,2023-12-12 00:00:00 UTC,AAPL,0.4576,positive
12135.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12136.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12137.0,2023-12-12 00:00:00 UTC,AAPL,0.2732,positive
12138.0,2023-12-12 00:00:00 UTC,AAPL,0.0,neutral
12139.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12140.0,2023-12-11 00:00:00 UTC,AAPL,0.5994,positive
12141.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12142.0,2023-12-11 00:00:00 UTC,AAPL,0.6249,positive
12143.0,2023-12-11 00:00:00 UTC,AAPL,0.2023,positive
12144.0,2023-12-11 00:00:00 UTC,AAPL,0.6249,positive
12145.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12146.0,2023-12-11 00:00:00 UTC,AAPL,0.3818,positive
12147.0,2023-12-11 00:00:00 UTC,AAPL,-0.1655,negative
12148.0,2023-12-11 00:00:00 UTC,AAPL,-0.3818,negative
12149.0,2023-12-11 00:00:00 UTC,AAPL,0.0258,neutral
12150.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12151.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12152.0,2023-12-11 00:00:00 UTC,AAPL,0.4576,positive
12153.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
12154.0,2023-12-11 00:00:00 UTC,AAPL,0.6249,positive
12155.0,2023-12-11 00:00:00 UTC,AAPL,0.0,neutral
