Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,Firm_aapl,ToGrade_aapl,FromGrade_aapl,Action_aapl,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,Firm_msft,ToGrade_msft,FromGrade_msft,Action_msft,Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,Firm_nvda,ToGrade_nvda,FromGrade_nvda,Action_nvda,Close_AVGO,High_AVGO,Low_AVGO,Open_AVGO,Volume_AVGO,Firm_avgo,ToGrade_avgo,FromGrade_avgo,Action_avgo,Close_ORCL,High_ORCL,Low_ORCL,Open_ORCL,Volume_ORCL,Firm_orcl,ToGrade_orcl,FromGrade_orcl,Action_orcl,Close_PLTR,High_PLTR,Low_PLTR,Open_PLTR,Volume_PLTR,Firm_pltr,ToGrade_pltr,FromGrade_pltr,Action_pltr,Close_CRM,High_CRM,Low_CRM,Open_CRM,Volume_CRM,Firm_crm,ToGrade_crm,FromGrade_crm,Action_crm,Close_CSCO,High_CSCO,Low_CSCO,Open_CSCO,Volume_CSCO,Firm_csco,ToGrade_csco,FromGrade_csco,Action_csco,Close_IBM,High_IBM,Low_IBM,Open_IBM,Volume_IBM,Firm_ibm,ToGrade_ibm,FromGrade_ibm,Action_ibm,Close_NOW,High_NOW,Low_NOW,Open_NOW,Volume_NOW,Firm_now,ToGrade_now,FromGrade_now,Action_now
2023-04-28,167.9858856201172,168.15420161173702,166.20386913874557,166.80777942388167,55209200,DA Davidson,Buy,Buy,main,302.44970703125,304.09354555846096,298.561534158712,299.2505873390995,36446700,,,,,27.73099136352539,27.739984394080437,27.05342998469089,27.20733127338207,292216000,,,,,60.693111419677734,60.72023671368466,59.53640610303357,59.97331920038465,16183000,,,,,92.3488998413086,93.01187787409404,91.88091228470303,91.91016011228903,8498500,,,,,7.75,8.0,7.619999885559082,7.769999980926514,24924400,,,,,196.9586944580078,197.2367011897596,193.8807584564042,194.75448740609673,4094600,,,,,44.48823165893555,44.497645577339135,43.88564031272905,43.96096243514099,19662000,,,,,116.87626647949219,117.65291099325648,116.16433528788296,117.03344352813612,5060500,,,,,459.4200134277344,461.67999267578125,449.20001220703125,454.239990234375,2360100,,,,
2023-05-01,167.89682006835938,168.74823448461532,166.95630783220886,167.58991750664728,52472900,B of A Securities,Neutral,,main,300.77630615234375,303.76872187468587,300.37272129835924,302.1642355165898,21294100,,,,,28.8912353515625,29.039140006502908,27.761969634748656,27.821930157082058,570329000,,,,,61.80234146118164,61.90309307736814,60.66404369255198,60.693109146145005,17030000,,,,,92.49514770507812,93.33362015346003,92.3293976157673,92.42690029362424,5459800,,,,,7.78000020980835,7.820000171661377,7.659999847412109,7.75,19134200,,,,,196.3828125,197.63385790143715,195.7175810461671,196.35302714760675,2882900,,,,,44.572967529296875,44.742446780078524,44.37524293396077,44.441151132406134,13122300,,,,,116.58039093017578,117.19061765060385,116.55265463451848,116.82078391585883,2725000,,,,,450.4100036621094,456.30999755859375,449.29998779296875,456.30999755859375,1424100,,,,
2023-05-02,166.85728454589844,168.6492261368123,165.86726857821876,168.3918123170909,48425700,Baird,Outperform,,main,300.62860107421875,304.3395683302201,299.1520846006122,302.9418162241632,26404400,,,,,28.191688537597656,28.81728357065356,28.06477206868038,28.661384689897297,402730000,,,,,59.32133865356445,60.69310982100038,58.61220070671352,60.62141996206577,28357000,,,,,92.42691040039062,92.85589098854778,91.50068692833808,92.55365348168989,5995100,,,,,7.590000152587891,7.909999847412109,7.429999828338623,7.71999979019165,38008000,,,,,192.46090698242188,196.99840064292667,191.55737761038455,196.61117593351486,6051000,,,,,43.650245666503906,44.32816261538454,43.367781468379356,44.168097295020104,20175100,,,,,115.72054290771484,116.9132460001628,113.97307860647132,116.77456451545405,4445300,,,,,443.67999267578125,451.0,439.3900146484375,450.5299987792969,1284300,,,,
2023-05-03,165.77816772460938,169.21352427793394,165.4910697460863,167.8077034423993,65136000,,,,,299.63446044921875,303.778542392161,299.3293160567343,301.81970644560397,22360800,,,,,27.783958435058594,28.348592322124123,27.4541726589013,27.8219338823804,383387000,,,,,59.4046516418457,60.25232076195827,59.327152386832616,59.76309354931239,19816000,,,,,92.40739440917969,93.03137285170521,92.17340435283506,92.69013580320059,6744800,,,,,7.559999942779541,7.679999828338623,7.449999809265137,7.619999885559082,24322400,,,,,191.23968505859375,194.39705381347633,191.19003775139356,192.82830798761373,3779900,,,,,43.273624420166016,43.82913890057328,43.17947088452837,43.70673643086262,20765700,,,,,114.1395034790039,116.09961742676244,113.963837913652,115.99791296861507,4554200,,,,,437.0799865722656,446.8999938964844,436.45001220703125,443.5299987792969,1192000,,,,
2023-05-04,164.13475036621094,165.3722703991822,162.66953087697775,163.2437419850499,81235400,Canaccord Genuity,Buy,Buy,main,300.62860107421875,302.9418162241632,298.65005938684857,301.44559363876704,22519900,,,,,27.544113159179688,27.840919391214324,27.22232162669159,27.63305419552841,321850000,,,,,59.11015319824219,59.478284864996766,58.250861492319956,59.09465408455078,17684000,,,,,92.59264373779297,92.73889031742135,92.04666444148438,92.6023954933442,5038200,,,,,7.380000114440918,7.519999980926514,7.28000020980835,7.46999979019165,29989300,,,,,191.01132202148438,193.17580519244478,189.40283716988924,190.53472606163282,4386500,,,,,43.02882385253906,43.2453798618133,42.89700746356581,43.09473204702569,17748900,,,,,113.32586669921875,114.20421562464267,112.57695851956275,113.75117301445498,4468200,,,,,430.510009765625,442.5400085449219,428.9700012207031,439.05999755859375,1658800,,,,
2023-05-05,171.8370819091797,172.55978934902075,169.0551242996228,169.27292902501793,113316400,"Monness, Crespi, Hardt",Buy,Buy,main,305.78662109375,307.08596307804874,299.50649820945034,300.9338097885406,28181200,,,,,28.66138458251953,28.736334757570592,27.713001157721607,27.807938808563854,361494000,,,,,61.0438117980957,61.174593426944696,59.42113141173456,59.67107218157671,24876000,,,,,94.54258728027344,94.87407261641196,92.4561576986641,92.62190036673336,8062700,,,,,7.409999847412109,7.550000190734863,7.320000171661377,7.440000057220459,45601300,,,,,196.1842498779297,196.70055459991374,191.87513027773483,192.5701471245032,4282800,,,,,43.54667282104492,43.650243860809134,43.23595970175229,43.42427035662113,14315100,,,,,114.32441711425781,114.74047565187308,113.54776557565319,113.82514263672448,4970800,,,,,434.79998779296875,439.6700134277344,431.54998779296875,433.0,1302600,,,,
2023-05-08,171.76776123046875,172.1142728432519,170.39163971305302,170.75794076749395,55962800,,,,,303.81793212890625,305.34368416903175,301.29801254398035,305.2747728426147,21318600,,,,,29.132076263427734,29.201031717397843,28.33159752844978,28.503484856309754,344979000,,,,,60.94111633300781,61.102903571542086,60.11960420272407,61.010869733664165,13934000,,,,,94.36708068847656,94.84481255654293,94.02584363985773,94.6498220825921,5314800,,,,,7.739999771118164,7.855000019073486,7.590000152587891,7.639999866485596,105304000,,,,,196.49205017089844,199.0735587383209,194.68500629388797,197.30622361839826,4169400,RBC Capital,Outperform,,reit,43.63141632080078,43.80089556609934,43.39602887918915,43.725569860754504,12000000,,,,,114.09326934814453,114.57404824866232,113.30737709811022,114.42611899234589,3663800,,,,,438.989990234375,439.57000732421875,429.04998779296875,436.8999938964844,1446600,,,,
2023-05-09,170.0550537109375,171.80737116626167,169.88675280256177,171.3222729910744,45326900,,,,,302.1936950683594,305.1861101016797,301.514495109484,303.1780393519697,21340800,,,,,28.552453994750977,28.954193487526783,28.43153415102666,28.880242114895676,314869000,,,,,59.919071197509766,60.457704170625526,59.662345430389045,60.3278870903823,16990000,,,,,93.73335266113281,94.46457811299629,93.69435307775757,93.79184831699071,6333500,,,,,9.550000190734863,9.6899995803833,8.654999732971191,9.220000267028809,223573300,Goldman Sachs,Neutral,,main,199.7487030029297,202.35007338521692,195.380012745246,195.380012745246,6996800,,,,,43.75381851196289,43.80089528163401,43.23596327039867,43.29245754904039,15221900,,,,,113.55906677246094,114.30882002281645,113.08110604678178,114.24321714967361,4540000,,,,,441.3900146484375,445.8399963378906,435.07000732421875,437.2200012207031,1171500,Morgan Stanley,Overweight,,main
2023-05-10,171.82717895507812,172.29248769554175,170.1837487273319,171.29257694818676,53724500,,,,,307.4205627441406,308.0997627072867,302.8532208601683,303.78832991159567,30078000,,,,,28.866254806518555,29.094107482413545,28.442530182163917,28.986175863013205,369350000,Truist Securities,Buy,Buy,main,60.67082595825195,60.83842257698985,59.89581493537225,60.262978324524994,19174000,,,,,95.07881164550781,95.23480999021623,93.85035815377621,94.36708965340449,5935300,,,,,9.9399995803833,10.300000190734863,9.460000038146973,9.729999542236328,149375000,Citigroup,Sell,Sell,main,203.39260864257812,204.81242769066716,201.59547309151566,203.4819647049968,6535600,,,,,43.97978210449219,44.18692417126354,43.45251661340406,43.97036818860566,15625100,,,,,114.35568237304688,114.79616189925841,113.4934710856671,114.3275678756593,4189200,,,,,454.1400146484375,459.989990234375,446.25,449.17999267578125,1537700,,,,
2023-05-11,172.01527404785156,172.84688383352895,170.4510470092042,172.11428168700377,49514700,,,,,305.2550048828125,306.2492022660023,301.46530325501186,305.24518186660805,31680200,Wedbush,Outperform,Outperform,main,28.559450149536133,28.931210344411994,28.227666813122973,28.87724453995884,322149000,Rosenblatt,Buy,Buy,reit,60.806461334228516,60.884932528329685,59.86869841348155,60.70086853828557,14430000,,,,,95.00082397460938,95.1860627188599,93.92835390489726,95.09831922501662,5144500,,,,,9.880000114440918,10.159000396728516,9.710000038146973,10.140000343322754,73754100,,,,,202.02239990234375,202.35005391267384,197.13740539876906,201.46638648489727,5366300,,,,,43.65966033935547,44.11160378252588,43.49959860794661,44.09277594848842,12521900,,,,,113.3060302734375,114.56185875740017,112.97801590450523,114.35567625402076,3446500,,,,,452.57000732421875,455.4599914550781,447.45001220703125,453.989990234375,2018800,,,,
